Winner,Alice,Medusa,Sinbad,King Arthur,Bruce Lee,Bigfoot,Robin Hood,InGen,Raptors,Dracula,Sherlock Holmes,Jekyll & Hyde,Invisible Man,Buffy,Angel,Spike,Willow,Beowulf,Little Red Riding Hood,Deadpool,Achilles,Bloody Mary,Sun Wukong,Yennenga,Luke Cage,Ghost Rider,Moon Knight,Daredevil,Bullseye,Elektra,Dr. Sattler,T. Rex,Houdini,The Genie,Ms. Marvel,Squirrel Girl,Cloak & Dagger,Black Widow,Black Panther,Winter Soldier,She-Hulk,Doctor Strange,Spider-Man,Nikola Tesla,Annie Christmas,Dr. Jill Trent,Golden Bat,Oda Nobunaga,Tomoe Gozen,Shakespeare,The Wayward Sisters,Hamlet,Titania,Ancient Leshen,Ciri,Eredin,Geralt of Rivia,Philippa,Yennefer,Triss,Chupacabra,Pandora,Blackbeard,Loki,Muhammad Ali,Leonardo,Michelangelo,Donatello,Raphael,Shredder,Krang
Eredin,100,39,67,100,41,58,59,40,100,62, -   ,,,100,,,,50,63, -   ,56,78,13,41,53,,100,53,41, -   ,88,38,63,51,100, -   , -   ,100,64,67,71,50,75,56,78,41,40,,67,25,60,100,61,44,45,,49,69,46,41,50,67,80,33,,,100,,100,100,
Geralt of Rivia,37,25,17,64,50,38,60,48,29,66, -   ,50,71,50,,,,61,64,100,28,58,33,40,56,63,47,63, -   ,, -   ,58,60,38,67, -   ,78,38,75,100,50,,90,30,51,15,38, -   ,53,68,47, -   ,47,57,40,51,,62,61,38,50,100,25,60,,,, -   ,,,
Philippa,29,26,43,,44, -   ,80,29,18,44, -   ,50,100,100,38,,100,,29,50,38,56,33,34,20,,50,54,67, -   ,63, -   ,27,41,100, -   ,100, -   ,50,100,50,100,67,44,20, -   ,20,,51,22,44,100,71,56,26,31,38,,42,46,100, -   ,100, -   , -   ,,, -   ,,,
Yennefer,100,61,12,,40,62,50,100,40,44,50,,50,,100,,100,100,59,100,41,100,62,79,30,50,76,43,100,20,,33,18,56,50,,33,50,78,79,43,25,100,56,100,54,27,100,58, -   ,20,,60,56,65,54,39,58,,,42,36,56,53,,,100,,100,,
Triss,,60,33,,100,67,50,,40,100,,, -   ,,,100,,,57,,56,100,,67,53,,,25,, -   ,,,18,33,,,,80,, -   ,, -   ,100,67,50,57, -   ,,89,33,73,67,100,67,55,59,63,54,,,43,57,,67,100,,,,,,
Chupacabra,44,33,63,71,63,43,50,43,75,17, -   ,80,40,,,,, -   ,58,,15,67,18,37,100,,44,20,80, -   , -   , -   ,50,25, -   ,, -   ,,50,100, -   ,14, -   ,25,,41,50,100,58,100,100,,75,60,31,50,50, -   ,58,57,,47,46,43,67,38,67,33,55,33,33
Pandora,64,18,67,53,67,17,100,100,73,60, -   , -   , -   ,, -   ,50,,,56,,37,36,50,47,,,36, -   ,50, -   ,,50,50,27,25,,100,67,100,, -   ,25,,67, -   ,43,67,67,58,,100,100,50,50,40,33, -   ,100,64,43,53,,35,56,50, -   ,,, -   ,,100
Blackbeard,45,64,46,82,55,77,60,100,40,100,50,,100,,,,100,,82,100,52,100,43,59,25,100,77,64,44,33,, -   ,38,46, -   ,,67,71,50, -   ,,45, -   ,38,67,62,38,100,55,50,100,50,86,67,56,20,75, -   ,44,,54,65,,58,, -   ,,,,, -   
Loki,78,31,52,42,54,86,67,100,67,50,,,100,100,100,100,100, -   ,82,50,22,86,31,21,50,,59,83,100,, -   ,,33,41,100,, -   ,100,,100,67,56,40,56,100,53,50,25,49,100,40,60,71,40,33,67,40,100,47,33,57,44,42,, -   ,50, -   , -   ,20,100,100
Muhammad Ali,100,100,,100,44, -   ,,,, -   ,,,,100,,,,,50,,,,, -   , -   ,,,, -   , -   ,,,, -   , -   ,,100,,,100,,, -   , -   ,50,,,, -   ,100,50,, -   ,,50,,,100,, -   ,33,50,,100,,27,80,45,12,22,20
Leonardo,100,,100,,100,100,50,, -   ,,,100,100,,,,,,,,,,,,,,100,,100,,,,,25,,,,,,,,,,67,100,100,,,22, -   ,,,100,50, -   ,,,,,,63,100,100,50,73,,25,53,22,92,33
Michelangelo,14,,,,100,,,,,,,,,,,,,,100,50,, -   ,,,,,, -   ,,,, -   ,, -   ,,50,,,100,,,,50,57,,,,,44,,,67, -   , -   ,, -   ,,, -   ,,33,,,100,20,75,,14,45,47,18
Donatello,56,,,,100, -   , -   ,,, -   ,,,,,100,,,, -   ,,,,,,,,100,,,,,,, -   ,,,,,,,,,,67,100,,,,57,, -   ,, -   ,50, -   ,,100,100,,,67,,,100,55,47,86,,28,50,50
Raphael,56,100,100,,, -   ,, -   ,,,,,,,,,,100,100,, -   ,,,,,,,50, -   ,,,,,28, -   ,,,,100,100,100,,,71,,,100,,75,,,,100,,50, -   ,,, -   ,,45,100,,80,88,78,55,72,,56,67
Shredder,60,,100,,,,,,, -   ,,,,,,,,,,,,100,,,100,,100,,,,,,,50,,,,,,,50,,,83,,,,,100,,100, -   ,50,100, -   , -   ,,,,,67,,, -   ,78,8,53,50,44,,58
Krang,67,100,,,,,,,,,, -   ,,,,,,50,,, -   ,,,,,,100,100,,,,,,57,,,,,, -   ,,,,50,,, -   ,, -   ,,,,,100,,,,,,,67, -   ,100, -   ,80,67,82,50,33,42,
